listing_id,name,neighborhood,current_price,recommended_price,price_change,pct_change,accommodates,bedrooms,number_of_reviews
1688914,Strivers Row Sanctuary in Harlem - Monthly,Harlem,116.0,132.47,16.47,14.2,3,1.0,136
866518628279065718,UES Spacious 2BR (30 days MIN),Upper East Side,155.0,159.03,4.03,2.6,4,2.0,6
654206843986971609,THE LOFT,Williamsburg,230.0,287.07,57.07,24.82,4,1.0,8
1010398417049773773,One bedroom close to CentralPark,Hell's Kitchen,108.0,177.62,69.62,64.46,2,1.0,12
44749327,"Chic, Bohemian 3BD/2BA + Roof deck in Williamsburg",Williamsburg,911.0,425.78,-485.22,-53.26,9,3.0,43
11511431,Historic Upper West Side Townhouse 1 or 2 Bdrms,Harlem,135.0,151.64,16.64,12.32,4,2.0,252
601684518197356654,Beautiful and Spacious 2 Bed / 2 Bath Apartment,Hell's Kitchen,309.0,384.59,75.59,24.46,4,2.0,12
655655590735199413,"3BR w/dishwasher, WD, elevator near Central Park W",Harlem,235.0,229.78,-5.22,-2.22,6,3.0,7
3851911,extemely sunny pre-war flat,Bedford-Stuyvesant,152.0,227.18,75.18,49.46,4,0.0,158
1018280359573876973,Cozy and chic UES 1 Bed,Upper East Side,383.0,240.59,-142.41,-37.18,3,1.0,56
1063136773468377411,Sun-Lit 2-Bed 1-Bath w Wash/Dry,Bedford-Stuyvesant,145.0,174.96,29.96,20.66,4,2.0,6
949400303873290231,Bliss House • Fifth Ave • Grand 2-Bed • No4A,Upper East Side,450.0,366.46,-83.54,-18.56,4,2.0,6
10101097,Beautiful house in the heart of Williamsburg,Williamsburg,569.0,633.86,64.86,11.4,8,3.0,148
51955482,COTTAGE FEEL GROUND FLOOR STUDIO,Harlem,151.0,185.33,34.33,22.73,3,0.0,55
6780285,Williamsburg townhouse on a park w/ pvt parking,Williamsburg,431.0,451.32,20.32,4.72,8,4.0,8
675551897308849367,Cozy Studio in the Upper East Side,Upper East Side,149.0,213.43,64.43,43.24,2,1.0,8
828616,Brooklyn Livin',Crown Heights,92.0,123.19,31.19,33.9,2,1.0,9
1117350487164620171,Perfect Williamsburg One-Bedroom,Williamsburg,190.0,173.29,-16.71,-8.8,2,1.0,5
1116986059041927579,Stylish One Bedroom in Midtown West,Hell's Kitchen,539.0,502.06,-36.94,-6.85,2,0.0,25
545653384677866355,Fully Furnished 2BR in the UES (30 DAYS MIN),Upper East Side,155.0,155.25,0.25,0.16,4,2.0,9
1117020499230853825,Luxury 1 bdrm in Midtown-Hells Kitchen,Hell's Kitchen,420.0,596.14,176.14,41.94,2,2.0,7
14139553,Cute Studio Steps from Central Park: UES Retreat,Upper East Side,157.0,163.42,6.42,4.09,2,0.0,35
641355980552957352,Modern Brooklyn Townhouse – Ground Floor,Crown Heights,130.0,161.45,31.45,24.19,3,1.0,44
25543393,A Muse Inn,Williamsburg,242.0,168.62,-73.38,-30.32,4,3.0,73
44004162,Harlem Apt on the Park,Harlem,119.0,289.34,170.34,143.14,4,2.0,120
41151871,Sunlit Bedstuy Charm,Bedford-Stuyvesant,210.0,206.12,-3.88,-1.85,2,1.0,132
763948654655084485,Trendy Urban Retreat,Crown Heights,166.0,230.3,64.3,38.74,4,2.0,10
1253045441873124439,Beautiful Cozy Central,Astoria,299.0,250.19,-48.81,-16.32,4,2.0,49
28610383,Gracious townhouse living in Hamilton Heights,Harlem,240.0,286.42,46.42,19.34,5,2.0,16
28838673,Luxury Brownstone living in the heart of Brooklyn,Bedford-Stuyvesant,391.0,321.54,-69.46,-17.76,5,2.0,227
12223866,Melissa And Ray's Oasis,Bedford-Stuyvesant,97.0,155.92,58.92,60.75,3,1.0,92
750101014637158472,Spacious Sunlit 1 BR in Heart of Williamsburg,Williamsburg,157.0,210.91,53.91,34.34,2,1.0,13
807957188943197036,Relaxed & Modern Stay in Bushwick Brooklyn,Bushwick,229.0,328.2,99.2,43.32,4,2.0,100
871075934437189983,Brooklyn Retreat for Groups | Sleeps 10,Bushwick,285.0,578.63,293.63,103.03,10,4.0,97
15506009,LARGE 1BR Apt 25 Mins to Manhattan,Crown Heights,241.0,226.31,-14.69,-6.09,6,2.0,6
34127215,Beautiful Williamsburg Townhouse 4 bed / 2.5 bath,Williamsburg,860.0,484.59,-375.41,-43.65,6,4.0,31
18303895,Beautiful brownstone just north of Central Park.,Harlem,106.0,159.38,53.38,50.36,2,0.0,168
33334476,Williamsburg Townhouse/1800ft²/Backyard  Garden,Williamsburg,395.0,612.76,217.76,55.13,8,4.0,160
25294851,"Quirky, Cozy 1 Bedroom Garden level Apt.",Bushwick,82.0,120.41,38.41,46.84,2,1.0,54
50778696,521 West 48th-2 bedroom 1 bathroom in Midtown West,Hell's Kitchen,165.0,205.4,40.4,24.48,4,2.0,6
6704737,LOVELY GARDEN UNIT WITH PATIO,Harlem,174.0,176.73,2.73,1.57,4,0.0,81
45752068,Newly renovated 2BR in the UES (30 DAYS MIN),Upper East Side,243.0,233.88,-9.12,-3.75,5,2.0,7
5663222,Stylish Private Studio In NYC,Harlem,117.0,138.48,21.48,18.36,2,1.0,382
649174647761073124,Lovely Spacious studio in upper Manhattan,Harlem,135.0,111.37,-23.63,-17.5,2,0.0,6
1189445665503919899,Designers apartment on the Upper East Side,Upper East Side,230.0,268.11,38.11,16.57,1,1.0,16
21230082,ALL new modern apartment of 2 bedroom NYC style!❤️,Upper East Side,459.0,417.96,-41.04,-8.94,6,2.0,466
1000691832643780415,Cozy Pre-War Harlem Studio Apartment,Harlem,197.0,188.75,-8.25,-4.19,2,1.0,94
21769638,Bohemian chic Brooklyn floor thru,Bedford-Stuyvesant,151.0,166.0,15.0,9.93,3,2.0,103
45192635,Historic Harlem Duplex with Heritage Charm,Harlem,250.0,297.89,47.89,19.16,4,2.0,5
21501622,Quaint Retreat live like a local 2,Bedford-Stuyvesant,170.0,136.83,-33.17,-19.51,2,1.0,114
838222335282904975,New York City Finest with Big Backyard,Bedford-Stuyvesant,110.0,147.64,37.64,34.21,4,1.0,12
34230593,Stunning Work from Home Gem with Peloton bike,Upper East Side,203.0,168.82,-34.18,-16.84,2,1.0,39
50154380,Beautiful Brownstone 1BR Apt in Bedstuy-Brooklyn,Bedford-Stuyvesant,206.0,207.66,1.66,0.81,3,1.0,219
850517,3 Bedroom Duplex/ 2 Baths and 2 LR,Bushwick,199.0,206.61,7.61,3.83,8,3.0,54
18359018,165 East 89-Studio,Upper East Side,120.0,120.87,0.87,0.73,3,0.0,15
6505927,"Clean, Charming & Spacious-Bedford Stuyvesant",Bedford-Stuyvesant,168.0,213.17,45.17,26.89,2,2.0,126
541725,Designer’s loft best W’burg / entire loft,Williamsburg,308.0,184.73,-123.27,-40.02,2,1.0,44
582678773466303522,Beautiful apartment in BK with Laundry machine,Bushwick,99.0,102.76,3.76,3.79,1,1.0,11
13674349,The Lefferts Manor Starting $129 per night,Bedford-Stuyvesant,177.0,169.74,-7.26,-4.1,2,1.0,102
41895103,Modern 2 BR on the Upper East Side (Min 30 Days),Upper East Side,143.0,153.83,10.83,7.57,4,2.0,7
10611168,521 West 48-Studio Near Time Square,Hell's Kitchen,130.0,124.99,-5.01,-3.85,3,0.0,14
652172745279262844,The Midtown - An Artist's Retreat,Hell's Kitchen,302.0,254.54,-47.46,-15.72,4,2.0,73
820498236955797984,Light and spacious apartment in Williamsburg,Williamsburg,124.0,174.25,50.25,40.52,3,1.0,6
13154343,Spacious Modern Alcove Studio in a Luxury Building,Hell's Kitchen,250.0,268.29,18.29,7.31,2,1.0,56
14028018,521 West 48-Gorgeous studio Near Time Square,Hell's Kitchen,130.0,124.99,-5.01,-3.85,3,0.0,14
42536123,Bright one Bedroom with European Flair,Bedford-Stuyvesant,105.0,156.67,51.67,49.21,2,1.0,10
39839813,"Clean, pretty, private South Williamsburg Studio",Williamsburg,215.0,186.56,-28.44,-13.23,2,1.0,91
23728057,Luxurious Brooklyn Getaway - Two Bedroom Apartment,Crown Heights,140.0,155.29,15.29,10.92,8,2.0,153
20761404,521 West 48-Cozy Studio,Hell's Kitchen,130.0,121.17,-8.83,-6.8,2,0.0,14
52670276,Spacious Brooklyn apartment with terrace,Crown Heights,220.0,258.03,38.03,17.29,2,1.0,5
652209616641745176,Cozy Private Studio Apartment (2 min to subway),Bedford-Stuyvesant,159.0,124.47,-34.53,-21.72,2,0.0,48
657441930493975647,"3BR NYC Creative Loft @ Williamsburg, Brooklyn",Williamsburg,164.0,235.95,71.95,43.87,6,3.0,8
